0,2025-07-29 13:38:42.405127," Software Quality Assurance Analyst job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13461943/Software-Quality-Assurance-Analyst-D-C
1,2025-07-29 13:38:42.405127," Forward Deployed Engineer (Multiple Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452180/Forward-Deployed-Engineer-Multiple-Levels-D-C-Washington
2,2025-07-29 13:38:42.405127," Forward Deployed Engineer - Deployment Strategist (Multiple Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452176/Forward-Deployed-Engineer-Deployment-Strategist-Multiple-Levels-D-C-Washington
3,2025-07-29 13:38:42.405127," Business Development Associate, Corporate job in  Washington,   D.C.  at  The Hanover Research Council  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12881113/Business-Development-Associate-Corporate-D-C-Washington
4,2025-07-29 13:38:42.405127, Systems Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
5,2025-07-29 13:38:42.405127," Controls Engineer - Lifecycle Services job in  Washington,   D.C.  at  Intralox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8761149/Controls-Engineer-Lifecycle-Services-D-C-Washington
6,2025-07-29 13:38:42.405127," Principal/ Lead Solution Engineer - Commerce Cloud job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13250280/Principal-Lead-Solution-Engineer-Commerce-Cloud-D-C-Washington
7,2025-07-29 13:38:42.405127, Sr. Marketing Campaign Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13420991/Sr-Marketing-Campaign-Manager-D-C
8,2025-07-29 13:38:42.405127, Senior Marketing Campaign Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13420921/Senior-Marketing-Campaign-Manager-D-C
9,2025-07-29 13:38:42.405127," Sr Analyst, Sales Process & Performance job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13097060/Sr-Analyst-Sales-Process-Performance-D-C
10,2025-07-29 13:38:42.405127," Sr. Partner Marketing Manager, Public Sector job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12758370/Sr-Partner-Marketing-Manager-Public-Sector-D-C
11,2025-07-29 13:38:42.405127," Regional Sales Manager job in  Washington,   D.C.  at  Benco Dental  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13030999/Regional-Sales-Manager-D-C-Washington
12,2025-07-29 13:38:42.405127," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
13,2025-07-29 13:38:42.405127," Principal Software Engineer (Data Engineering) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11851924/Data-Engineer-D-C-Washington
14,2025-07-29 13:38:42.405127," Program Strategist job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13379816/Program-Strategist-D-C-Washington
15,2025-07-29 13:38:42.405127, Mobile Cranes Business Development Manager job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573551/Mobile-Cranes-Regional-Sales-Manager-D-C
16,2025-07-29 13:38:42.405127, Business Development Executive - IT Services Sales job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12280381/Business-Development-Executive-D-C
17,2025-07-29 13:38:42.405127," Fund Accounting Manager, Alternative Investment Funds (HYBRID) NYC/CT job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12676385/Fund-Accounting-Manager-Alternative-Investment-Funds-Hybrid-Nyc-Ct-D-C
18,2025-07-29 13:38:42.405127, Senior Principal Product Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12989527/Senior-Principal-Product-Manager-D-C
19,2025-07-29 13:38:42.405127," Area Business Manager - Baltimore, MD job in   D.C.  at  Acadia Pharmaceuticals Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13063206/Area-Business-Manager-Baltimore-Md-D-C
20,2025-07-29 13:38:42.405127," People Operations Business Partner job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13343991/People-Operations-Business-Partner-D-C-Washington
