0,2024-09-18 13:21:13.591523, Manager Critical Infrastructure job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9248676/Manager-Critical-Infrastructure-D-C
1,2024-09-18 13:21:13.591523," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9387562/Territory-Account-Manager-D-C-Washington
2,2024-09-18 13:21:13.591523, Strategic Sourcing Professional Services Sr. Manager job in   D.C.  at  Alight Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9387075/Strategic-Sourcing-Professional-Services-Sr-Manager-D-C
3,2024-09-18 13:21:13.591523," Partner Business Manager, DoD Channels job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9358364/Partner-Business-Manager-Dod-Channels-D-C
4,2024-09-18 13:21:13.591523," Accounting Operations Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9336407/Accounting-Operations-Manager-D-C-Washington
5,2024-09-18 13:21:13.591523, Website Content Manager job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8128702/Website-Content-Manager-D-C
6,2024-09-18 13:21:13.591523," Manager, Private Equity and Hedge Fund Accounting (REMOTE) job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9286706/Manager-Private-Equity-Hedge-Fund-Accounting-Remote-D-C
7,2024-09-18 13:21:13.591523," Cost Engineer/Consultant job in   D.C.  at  Project Time & Cost, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8521424/Cost-Engineer-Consultant-D-C
8,2024-09-18 13:21:13.591523," Territory Manager (Ostomy Care) - Washington D.C. job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9254137/Territory-Manager-Ostomy-Care-Washington-D-C-D-C-Washington
9,2024-09-18 13:21:13.591523, Regional Technical Manager (Northeast) - Grid Edge Solutions job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9238935/Regional-Technical-Manager-Northeast-Grid-Edge-Solutions-D-C
10,2024-09-18 13:21:13.591523," Public Sector Marketing Manager job in  Washington,   D.C.  at  RingCentral, Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8117221/Public-Sector-Marketing-Manager-D-C-Washington
11,2024-09-18 13:21:13.591523, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
12,2024-09-18 13:21:13.591523," Business Development Executive, GBS LE GSL job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
13,2024-09-18 13:21:13.591523," Business Development Executive, LE, GBS job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9201854/Business-Development-Executive-Le-Gbs-D-C
14,2024-09-18 13:21:13.591523," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
