0,2024-11-28 13:25:17.777820, Model-Based Software Engineer - 100% Remote job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475836/Model-Based-Software-Engineer-100-Remote-D-C
1,2024-11-28 13:25:17.777820, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
2,2024-11-28 13:25:17.777820," Senior Sales Engineer, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9928412/Senior-Sales-Engineer-Federal-Civilian-D-C
3,2024-11-28 13:25:17.777820," Sr. Director Analyst, U.S. Federal Government Agencies,  IT Modernization and Digital Transformation Leaderships (Remote-Eastern US) job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10265176/Sr-Director-Analyst-U-S-Federal-Government-It-Modernization-Digital-Transformation-Remote-Eastern-Us-D-C
4,2024-11-28 13:25:17.777820, Inside Sales Manager - Infusion Sales job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10396524/Inside-Sales-Manager-Infusion-Sales-D-C
5,2024-11-28 13:25:17.777820, Senior Data Scientist (Psychometrics) job in   D.C.  at  Udemy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10297380/Senior-Data-Scientist-D-C
6,2024-11-28 13:25:17.777820, Early Careers: Sophomore Actuarial Mentorship Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10396036/Early-Careers-Sophomore-Actuarial-Mentorship-Program-D-C
7,2024-11-28 13:25:17.777820," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
8,2024-11-28 13:25:17.777820," Technical Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
9,2024-11-28 13:25:17.777820," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
10,2024-11-28 13:25:17.777820," Regional Business Director job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9604618/Key-Account-Director-D-C-Washington
11,2024-11-28 13:25:17.777820, NBS Systems Engineer - Digital Velocity job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10367604/Nbs-Systems-Engineer-Digital-Velocity-D-C
12,2024-11-28 13:25:17.777820," Account Manager - East job in  Washington,   D.C.  at  Harmless Harvest  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9590718/Account-Manager-East-D-C-Washington
13,2024-11-28 13:25:17.777820, Programmer Analyst-II (remote) job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10318291/Programmer-Analyst-Ii-Remote-D-C
14,2024-11-28 13:25:17.777820," Principal Software Engineer - FHIR job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
