0,2025-01-29 13:20:21.595928, Cyber Business Development Manager job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10845871/Cyber-Business-Development-Manager-D-C
1,2025-01-29 13:20:21.595928, Field Service Manager job in   D.C.  at  Intralox  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11074776/Field-Service-Manager-D-C
2,2025-01-29 13:20:21.595928," Senior Grants Manager job in  Washington,   D.C.  at  Project On Government Oversight  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11066499/Senior-Grants-Manager-D-C-Washington
3,2025-01-29 13:20:21.595928," REMOTE - Account Executive (Lead Project Manager - Retail Store Fixtures) job in   D.C.  at  UFP Industries, Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10779252/Remote-Account-Executive-Lead-Project-Manager-Retail-Store-Fixtures-D-C
4,2025-01-29 13:20:21.595928, Early Careers: Sophomore Actuarial Mentorship Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10396036/Early-Careers-Sophomore-Actuarial-Mentorship-Program-D-C
5,2025-01-29 13:20:21.595928," Senior Product Marketing Manager, Public Sector job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11043823/Senior-Product-Marketing-Manager-Public-Sector-D-C-Washington
6,2025-01-29 13:20:21.595928, Senior Data Cloud Architect job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10090954/Senior-Data-Cloud-Architect-D-C
7,2025-01-29 13:20:21.595928, Spotfire Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
8,2025-01-29 13:20:21.595928," Field Operations Manager, Public Sector job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10892226/Field-Operations-Manager-Public-Sector-D-C
9,2025-01-29 13:20:21.595928," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
10,2025-01-29 13:20:21.595928," Infrastructure Engineer  (Software) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10437859/Infrastructure-Engineer-Software-D-C-Washington
11,2025-01-29 13:20:21.595928," Senior Manager of Digital Content job in  Washington,   D.C.  at  EarthRights International  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10994058/Senior-Manager-Digital-Content-D-C-Washington
12,2025-01-29 13:20:21.595928," Senior Associate - US Program, Green Industrial Strategy job in   D.C.  at  Rocky Mountain Institute  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10734729/Senior-Associate-Us-Program-Green-Industrial-Strategy-D-C
13,2025-01-29 13:20:21.595928," Construction Analyst, Strategic Investments job in  Washington,   D.C.  at  Local Initiatives Support Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10987878/Construction-Analyst-Strategic-Investments-D-C-Washington
