0,2025-06-08 13:24:19.237588," Mid Market Lead Solution Engineer: Non-profit job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12795591/Mid-Market-Lead-Solution-Engineer-Non-Profit-D-C-Washington
1,2025-06-08 13:24:19.237588," Sr. Manager or Director, Product Management - Education Cloud job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12842095/Sr-Manager-Or-Director-Product-Management-Education-Cloud-D-C-Washington
2,2025-06-08 13:24:19.237588, Contract and Reporting Analyst job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12856404/Contract-Reporting-Analyst-D-C
3,2025-06-08 13:24:19.237588," Solution Engineer, Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12854249/Solution-Engineer-Public-Sector-D-C-Washington
4,2025-06-08 13:24:19.237588," Senior Regional Manager (Northeast Region) job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12126531/Senior-Regional-Manager-Northeast-Region-D-C-Washington
5,2025-06-08 13:24:19.237588," Fund Accounting Manager, Alternative Investment Funds (HYBRID) NYC/CT job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12676385/Fund-Accounting-Manager-Alternative-Investment-Funds-Hybrid-Nyc-Ct-D-C
6,2025-06-08 13:24:19.237588," Technical Product Manager, Platforms & Infrastructure job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12480751/Technical-Product-Manager-Platforms-Infrastructure-D-C-Washington
7,2025-06-08 13:24:19.237588, Public Sector Full Stack Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12491738/Public-Sector-Full-Stack-Engineer-D-C
8,2025-06-08 13:24:19.237588, Pricing Analyst job in   D.C.  at  Solenis LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12788922/Pricing-Analyst-D-C
9,2025-06-08 13:24:19.237588, Lead Enterprise Account Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12774478/Lead-Enterprise-Account-Manager-D-C
10,2025-06-08 13:24:19.237588, Account Manager job in   D.C.  at  John Wiley & Sons Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12769612/Account-Manager-D-C
11,2025-06-08 13:24:19.237588," Sr. Partner Marketing Manager, Public Sector job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12758370/Sr-Partner-Marketing-Manager-Public-Sector-D-C
12,2025-06-08 13:24:19.237588," Regional Director of Business Development job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12174637/Regional-Director-Business-Development-D-C
13,2025-06-08 13:24:19.237588," Infrastructure Engineer  (Software) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10437859/Infrastructure-Engineer-Software-D-C-Washington
14,2025-06-08 13:24:19.237588," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11973289/Territory-Manager-Bioprocessing-D-C-Washington
15,2025-06-08 13:24:19.237588," Capture  Manager - Federal Veterans Affairs job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12369965/Client-Solutions-Manager-Federal-Va-D-C-Washington
16,2025-06-08 13:24:19.237588, Inside Account Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12742948/Inside-Account-Manager-D-C
17,2025-06-08 13:24:19.237588," Principal Software Engineer (Data Engineering) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11851924/Data-Engineer-D-C-Washington
18,2025-06-08 13:24:19.237588," Alliance Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12422540/Alliance-Manager-D-C-Washington
19,2025-06-08 13:24:19.237588," Manager, Solution Engineering job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11895957/Manager-Solution-Engineering-D-C
