0,2026-08-09 13:46:17.012352, Experienced Clinical Project Manager -  Inflammation (Sponsor Dedicated/ Remote- US only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17870619/Experienced-Clinical-Project-Manager-Inflammation-Sponsor-Dedicated-Remote-Us-Only-D-C
1,2026-08-09 13:46:17.012352, Data Center COE Service Site Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17869428/Data-Center-Coe-Service-Site-Manager-D-C
2,2026-08-09 13:46:17.012352, Digital Pathology Field Service Engineer job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17196403/Digital-Pathology-Field-Service-Engineer-D-C
3,2026-08-09 13:46:17.012352, Regulatory Reporting Analyst- Remote job in   D.C.  at  CSAA  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17841484/Regulatory-Reporting-Analyst-Remote-D-C
4,2026-08-09 13:46:17.012352, Information System & Data Management Director job in   D.C.  at  Chemonics International Inc  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17836288/Information-System-Data-Management-Director-D-C
5,2026-08-09 13:46:17.012352," Construction Project Manager (Oversight) job in  Washington,   D.C.  at  Brown and Caldwell  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16799402/Deputy-Delivery-Manager-Owners-Advisory-D-C-Washington
6,2026-08-09 13:46:17.012352," Manager, Injection Systems - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16790575/Manager-Injection-Systems-Equipment-Process-Performance-D-C
7,2026-08-09 13:46:17.012352, Group Account Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17822224/Group-Account-Manager-D-C
8,2026-08-09 13:46:17.012352," Local Division Manager IEC Motors, North America job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17813607/Local-Division-Manager-Iec-Motors-North-America-D-C
9,2026-08-09 13:46:17.012352," Actuarial Manager, Commercial Auto Pricing (Mobility) - Remote job in   D.C.  at  CSAA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17811566/Actuarial-Manager-Commercial-Auto-Pricing-Mobility-Remote-D-C
10,2026-08-09 13:46:17.012352," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
