0,2026-06-13 14:58:00.594678," Senior Clinical Project Manager - Inflammation/ Phase 2b (Sponsor Dedicated - Remote; Preference for Hybrid Foster City, CA ) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16883286/Sr-Project-Manager-D-C
1,2026-06-13 14:58:00.594678, Data Center Solutions Architect job in   D.C.  at  Daikin Applied  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17236415/Data-Center-Solutions-Architect-D-C
2,2026-06-13 14:58:00.594678," Manager, Global Billing Operations job in   D.C.  at  Recorded Future  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16893746/Manager-Global-Billing-Operations-D-C
3,2026-06-13 14:58:00.594678," Forestry Technical Officer/Forestry Technical Manager, depending on experience job in   D.C.  at  Winrock International  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17209206/Forestry-Technical-Officer-Forestry-Technical-Manager-Depending-On-Experience-D-C
4,2026-06-13 14:58:00.594678, Global Product Manager - Transformers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17208535/Global-Product-Manager-Transformers-D-C
5,2026-06-13 14:58:00.594678, Government Guaranteed Lending Business Development Officer job in   D.C.  at  Ameris Bank  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15904851/Government-Guaranteed-Lending-Business-Development-Officer-D-C
6,2026-06-13 14:58:00.594678," Director, Clinical Business Development job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
7,2026-06-13 14:58:00.594678," Manager I, Field Technical Service Engineering - Surgical job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16851059/Manager-I-Field-Technical-Service-Engineering-Surgical-D-C-Washington
8,2026-06-13 14:58:00.594678," Deputy Delivery Manager, Owners Advisory job in  Washington,   D.C.  at  Brown and Caldwell  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16799402/Deputy-Delivery-Manager-Owners-Advisory-D-C-Washington
9,2026-06-13 14:58:00.594678, Academic Centers Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16416259/Academic-Centers-Manager-D-C
