0,2024-12-08 13:21:56.525854, Point of Care/Molecular Business Development Manager - Mid-Atlantic job in   D.C.  at  QuidelOrtho  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10521059/Point-Care-Molecular-Business-Development-Manager-Mid-Atlantic-D-C
1,2024-12-08 13:21:56.525854, Accounting & Audit Senior for Hyve Business job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10513511/Accounting-Audit-Senior-For-Hyve-Business-D-C
2,2024-12-08 13:21:56.525854," Senior Sales Engineer, Public Sector job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10499743/Senior-Sales-Engineer-Public-Sector-D-C
3,2024-12-08 13:21:56.525854," Territory Manager (Ostomy Care) - Washington D.C. job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9254137/Territory-Manager-Ostomy-Care-Washington-D-C-D-C-Washington
4,2024-12-08 13:21:56.525854," Sr. Delivery Manager, Infrastructure job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10475111/Sr-Delivery-Manager-Infrastructure-D-C
5,2024-12-08 13:21:56.525854, Financial Analyst III job in   D.C.  at  Qlarant  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10470520/Financial-Analyst-Iii-D-C
6,2024-12-08 13:21:56.525854," ServiceNow Business Analyst job in  Washington,   D.C.  at  M9 Solutions  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10417453/Servicenow-Business-Analyst
7,2024-12-08 13:21:56.525854," Accounting Operations Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9336407/Accounting-Operations-Manager-D-C-Washington
8,2024-12-08 13:21:56.525854," Vice President of Engineering job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10152983/Vice-President-Engineering-D-C-Washington
9,2024-12-08 13:21:56.525854," Software Engineering Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680538/Software-Engineering-Manager-D-C-Washington
10,2024-12-08 13:21:56.525854," Senior Software Engineer (Salesforce) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9623093/Senior-Software-Engineer-Salesforce-D-C-Washington
11,2024-12-08 13:21:56.525854," Software Engineer (EDI Gateway) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680537/Software-Engineer-Edi-Gateway-D-C-Washington
12,2024-12-08 13:21:56.525854, Senior Data Cloud Architect job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10090954/Senior-Data-Cloud-Architect-D-C
13,2024-12-08 13:21:56.525854, Model-Based Software Engineer - 100% Remote job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475836/Model-Based-Software-Engineer-100-Remote-D-C
