0,2025-08-07 13:38:25.838705," Senior Infrastructure Engineer - Azure Platform job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13586959/Senior-Infrastructure-Engineer-Azure-Platform-D-C-Washington
1,2025-08-07 13:38:25.838705, Business Development Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573244/Business-Development-Manager-D-C
2,2025-08-07 13:38:25.838705, Medical Affairs Program Manager job in   D.C.  at  ZOLL Respicardia  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13582888/Medical-Affairs-Program-Manager-D-C
3,2025-08-07 13:38:25.838705," Tableau Customer Success Manager (TS/SCI) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13435533/Customer-Success-Manager-D-C
4,2025-08-07 13:38:25.838705," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13555759/Project-Manager-D-C-Washington
5,2025-08-07 13:38:25.838705," Solutions Architect, Data Engineering & Lakehouse Lake job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13101838/Solutions-Architect-Data-Engineering-Lakehouse-Lake-Texas
6,2025-08-07 13:38:25.838705, Lead Web Experience Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13209986/Lead-Web-Experience-Manager-D-C
7,2025-08-07 13:38:25.838705, Integrated Marcom Strategic Events Manager - Bioscience Production job in   D.C.  at  Avantor  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13236354/Integrated-Marcom-Strategic-Events-Manager-Bioscience-Production-D-C
8,2025-08-07 13:38:25.838705," Product Manager - Compliance / Commercial Messaging job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13507735/Product-Manager-Compliance-Commercial-Messaging-D-C
9,2025-08-07 13:38:25.838705, Field Account Manager job in   D.C.  at  Safelite Auto Glass  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12892441/Field-Account-Manager-D-C
10,2025-08-07 13:38:25.838705," Sr. Software Engineer (Backend-Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888581/Sr-Software-Engineer-Backend-Manager-D-C-Washington
11,2025-08-07 13:38:25.838705," Software Engineer (Backend- Python) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888588/Software-Engineer-Backend-Python-D-C-Washington
12,2025-08-07 13:38:25.838705," Sr Software Engineer (Fullstack- Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888579/Sr-Software-Engineer-Fullstack-Java-D-C-Washington
13,2025-08-07 13:38:25.838705," Sr. Data Engineer (Engineering Lead) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888582/Sr-Data-Engineer-Engineering-Lead-D-C-Washington
14,2025-08-07 13:38:25.838705," Data Engineer (Analytics) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888587/Data-Engineer-Analytics-D-C-Washington
15,2025-08-07 13:38:25.838705," Sr.  Software Engineer (Fullstack-Eng Lead/Mgr) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888586/Sr-Software-Engineer-Fullstack-Eng-Lead-Mgr-D-C-Washington
16,2025-08-07 13:38:25.838705," Sr. Software Engineer (Eng Lead/Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888583/Sr-Software-Engineer-Eng-Lead-Manager-D-C-Washington
17,2025-08-07 13:38:25.838705," Big Data Technical Architect job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13465516/Big-Data-Technical-Architect-D-C
18,2025-08-07 13:38:25.838705," Principal/ Lead Solution Engineer - Commerce Cloud job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13250280/Principal-Lead-Solution-Engineer-Commerce-Cloud-D-C-Washington
19,2025-08-07 13:38:25.838705," Big Data Technical Architect job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13465525/Big-Data-Technical-Architect-D-C-Washington
20,2025-08-07 13:38:25.838705," Forward Deployed Engineer (Multiple Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452180/Forward-Deployed-Engineer-Multiple-Levels-D-C-Washington
21,2025-08-07 13:38:25.838705," Business Development Associate, Corporate job in  Washington,   D.C.  at  The Hanover Research Council  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12881113/Business-Development-Associate-Corporate-D-C-Washington
22,2025-08-07 13:38:25.838705," Controls Engineer - Lifecycle Services job in  Washington,   D.C.  at  Intralox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8761149/Controls-Engineer-Lifecycle-Services-D-C-Washington
23,2025-08-07 13:38:25.838705," Manager/Senior Manager, Sales Leadership job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13381105/Manager-Senior-Manager-Sales-Leadership-D-C
24,2025-08-07 13:38:25.838705," Lead Earned Value Cost and Schedule PPM Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13439909/Lead-Earned-Value-Cost-Schedule-Ppm-Analyst-D-C
25,2025-08-07 13:38:25.838705," Earned Value Cost and Schedule PPM Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13439903/Earned-Value-Cost-Schedule-Ppm-Analyst-D-C
