0,2025-10-12 13:19:36.466132," Commissioning Manager job in   D.C.  at  Plug Power, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14422045/Commissioning-Manager-D-C
1,2025-10-12 13:19:36.466132," Partner Account Manager - Public Sector job in  Washington,   D.C.  at  Samsara  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14391118/Partner-Account-Manager-Public-Sector-D-C-Washington
2,2025-10-12 13:19:36.466132," AI Forward Deployed Engineer (Early Career) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14325260/Ai-Forward-Deployed-Engineer-Early-Career-D-C-Washington
3,2025-10-12 13:19:36.466132, Senior Manager - State Government Affairs job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14385461/Senior-Manager-State-Government-Affairs-D-C
4,2025-10-12 13:19:36.466132," Principle Software Engineer job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14384919/Principle-Software-Engineer-D-C-Washington
5,2025-10-12 13:19:36.466132," Manager/Senior Manager, Sales Leadership job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13381105/Manager-Senior-Manager-Sales-Leadership-D-C
6,2025-10-12 13:19:36.466132," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
7,2025-10-12 13:19:36.466132, Senior Content Marketing Manager (Operations & Digital Focus) job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13553283/Senior-Content-Marketing-Manager-Operations-Digital-Focus-D-C
8,2025-10-12 13:19:36.466132," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14035476/Territory-Manager-Bioprocessing-D-C-Washington
9,2025-10-12 13:19:36.466132," Software Engineer (Backend-Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888584/Software-Engineer-Backend-Java-D-C-Washington
10,2025-10-12 13:19:36.466132," Software Engineer (Data) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12731050/Software-Engineer-Data-D-C-Washington
11,2025-10-12 13:19:36.466132," Senior District Manager, Public Sector, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13973176/Senior-District-Manager-Public-Sector-Federal-Civilian-D-C
12,2025-10-12 13:19:36.466132, UX /UI Design Manager job in   D.C.  at  Toppan Merrill LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13937354/Ux-Ui-Design-Manager-D-C
13,2025-10-12 13:19:36.466132," AI Forward Deployed Engineer (Senior/Lead/Principal) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452180/Forward-Deployed-Engineer-Multiple-Levels-D-C-Washington
14,2025-10-12 13:19:36.466132, Sr. Policy Analyst job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14324907/Sr-Policy-Analyst-D-C
15,2025-10-12 13:19:36.466132, Amazon National Account Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14310306/Amazon-National-Account-Manager-D-C
16,2025-10-12 13:19:36.466132, Solutions Sales Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13973213/Solutions-Sales-Manager-D-C
17,2025-10-12 13:19:36.466132," Regional Marketing Manager, North America job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13976687/Regional-Marketing-Manager-North-America-D-C
18,2025-10-12 13:19:36.466132," Principal Account Solution Engineer, Department of Defense: MuleSoft job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14004627/Principal-Account-Solution-Engineer-Department-Defense-Mulesoft-D-C
19,2025-10-12 13:19:36.466132, Early Careers: Actuarial Sophomore Mentor Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13838940/Early-Careers-Actuarial-Sophomore-Mentor-Program-D-C
