0,2024-11-14 13:22:59.816454," Software Engineer (ruby) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10246959/Software-Engineer-Ruby-D-C-Washington
1,2024-11-14 13:22:59.816454," Principal Engineer, DevOps job in   D.C.  at  Sony Corporation of America  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10242766/Principal-Engineer-Devops-D-C
2,2024-11-14 13:22:59.816454," Territory Manager (Ostomy Care) - Washington D.C. job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9254137/Territory-Manager-Ostomy-Care-Washington-D-C-D-C-Washington
3,2024-11-14 13:22:59.816454," Manager/Senior Manager, Sales - Central/East job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9771191/Manager-Senior-Manager-Sales-Central-East-D-C
4,2024-11-14 13:22:59.816454," Software Engineer (EDI Gateway) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680537/Software-Engineer-Edi-Gateway-D-C-Washington
5,2024-11-14 13:22:59.816454," Software Engineering Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680538/Software-Engineering-Manager-D-C-Washington
6,2024-11-14 13:22:59.816454," Accounting Operations Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9336407/Accounting-Operations-Manager-D-C-Washington
7,2024-11-14 13:22:59.816454," Director, Program Management job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10153146/Director-Program-Management-D-C
8,2024-11-14 13:22:59.816454," Vice President of Engineering job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10152983/Vice-President-Engineering-D-C-Washington
9,2024-11-14 13:22:59.816454," Account Manager, Data Center Colocations job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10124507/Account-Manager-Data-Center-Colocations-D-C
10,2024-11-14 13:22:59.816454," Senior Sales Engineer - Federal/Civilian job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10098690/Senior-Sales-Engineer-Federal-Civilian-D-C
11,2024-11-14 13:22:59.816454, Senior Data Cloud Architect job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10090954/Senior-Data-Cloud-Architect-D-C
12,2024-11-14 13:22:59.816454," Senior Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9731106/Senior-Program-Manager-D-C-Washington
13,2024-11-14 13:22:59.816454," Senior Software Engineer (Salesforce) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9623093/Senior-Software-Engineer-Salesforce-D-C-Washington
14,2024-11-14 13:22:59.816454, Model-Based Software Engineer - 100% Remote job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475836/Model-Based-Software-Engineer-100-Remote-D-C
15,2024-11-14 13:22:59.816454," Account Manager - East job in  Washington,   D.C.  at  Harmless Harvest  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9590718/Account-Manager-East-D-C-Washington
16,2024-11-14 13:22:59.816454, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
17,2024-11-14 13:22:59.816454," Business Development Executive, GBS LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
18,2024-11-14 13:22:59.816454, Senior Sales Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9883442/Senior-Sales-Engineer-D-C
19,2024-11-14 13:22:59.816454, Website Content Manager job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8128702/Website-Content-Manager-D-C
