0,2025-10-08 13:27:01.178016," AI Forward Deployed Engineer (Early Career) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14325260/Ai-Forward-Deployed-Engineer-Early-Career-D-C-Washington
1,2025-10-08 13:27:01.178016," Manager/Senior Manager, Sales Leadership job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13381105/Manager-Senior-Manager-Sales-Leadership-D-C
2,2025-10-08 13:27:01.178016, Subcontracts Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13839930/Subcontracts-Manager-D-C
3,2025-10-08 13:27:01.178016," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
4,2025-10-08 13:27:01.178016," Software Engineer (Data) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12731050/Software-Engineer-Data-D-C-Washington
5,2025-10-08 13:27:01.178016," Senior District Manager, Public Sector, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13973176/Senior-District-Manager-Public-Sector-Federal-Civilian-D-C
6,2025-10-08 13:27:01.178016," Senior Manager, Delivery Operations job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14328410/Senior-Manager-Delivery-Operations-D-C-Washington
7,2025-10-08 13:27:01.178016, UX /UI Design Manager job in   D.C.  at  Toppan Merrill LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13937354/Ux-Ui-Design-Manager-D-C
8,2025-10-08 13:27:01.178016," AI Forward Deployed Engineer (Senior/Lead/Principal) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452180/Forward-Deployed-Engineer-Multiple-Levels-D-C-Washington
9,2025-10-08 13:27:01.178016, Sr. Policy Analyst job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14324907/Sr-Policy-Analyst-D-C
10,2025-10-08 13:27:01.178016, Amazon National Account Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14310306/Amazon-National-Account-Manager-D-C
11,2025-10-08 13:27:01.178016, Solutions Sales Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13973213/Solutions-Sales-Manager-D-C
12,2025-10-08 13:27:01.178016," Regional Marketing Manager, North America job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13976687/Regional-Marketing-Manager-North-America-D-C
13,2025-10-08 13:27:01.178016," Principal Account Solution Engineer, Department of Defense: MuleSoft job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14004627/Principal-Account-Solution-Engineer-Department-Defense-Mulesoft-D-C
14,2025-10-08 13:27:01.178016, Early Careers: Actuarial Sophomore Mentor Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13838940/Early-Careers-Actuarial-Sophomore-Mentor-Program-D-C
15,2025-10-08 13:27:01.178016," Associate Territory Manager, SWIC (Mid-Atlantic) job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14283496/Associate-Territory-Manager-Swic-Mid-Atlantic-D-C-Washington
16,2025-10-08 13:27:01.178016," Principal Software Engineer (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
17,2025-10-08 13:27:01.178016, Software Engineer job in   D.C.  at  Trimble Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14268269/Software-Engineer-D-C
18,2025-10-08 13:27:01.178016," Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14266166/Program-Manager-D-C-Washington
19,2025-10-08 13:27:01.178016, Manager - Commercial Delivery job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14230420/Manager-Commercial-Delivery-D-C
20,2025-10-08 13:27:01.178016, Local Trade Compliance Officer & Product Classification Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13025314/Local-Trade-Compliance-Officer-Product-Classification-Engineer-D-C
