0,2026-07-25 14:28:32.694271, Senior Site Contracts Manager (Sponsor Dedicated /Remote - US Based) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17397086/Senior-Site-Contracts-Manager-Sponsor-Dedicated-Remote-Us-Based-D-C
1,2026-07-25 14:28:32.694271," Project Manager I, RWE job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17429471/Project-Manager-I-Rwe-D-C
2,2026-07-25 14:28:32.694271," Director, Software Engineering job in   D.C.  at  Performance Review Institute (PRI)  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17707577/Director-Software-Engineering-D-C
3,2026-07-25 14:28:32.694271," Principal Account Manager - Federal Civilian job in   D.C.  at  Cloud Software Group, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17703131/Principal-Account-Manager-Federal-Civilian-D-C
4,2026-07-25 14:28:32.694271," Principal Enterprise Account Manager - Federal Healthcare job in   D.C.  at  Cloud Software Group, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17703128/Principal-Enterprise-Account-Manager-Federal-Healthcare-D-C
5,2026-07-25 14:28:32.694271, Clinical Trial Manager - Full Service job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17687511/Clinical-Trial-Manager-Full-Service-D-C
6,2026-07-25 14:28:32.694271, Data Center CoE Sr. Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17001930/Data-Center-Coe-Sr-Field-Service-Technician-D-C
7,2026-07-25 14:28:32.694271, Data Center CoE - Sr. Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16995789/Data-Center-Coe-Sr-Field-Service-Technician-D-C
8,2026-07-25 14:28:32.694271, Program Leader Critical Industries job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17686708/Program-Leader-Critical-Industries-D-C
9,2026-07-25 14:28:32.694271, Data Center CoE - Sr. Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16995631/Data-Center-Coe-Sr-Field-Service-Technician-D-C
10,2026-07-25 14:28:32.694271, Data Center CoE - Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17686671/Data-Center-Coe-Field-Service-Technician-D-C
11,2026-07-25 14:28:32.694271, Data Center CoE Sr. Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17001868/Data-Center-Coe-Sr-Field-Service-Technician-D-C
12,2026-07-25 14:28:32.694271," Dir., Business Development, High Growth Markets job in   D.C.  at  Mercury Systems  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17368295/Dir-Business-Development-High-Growth-Markets-D-C
13,2026-07-25 14:28:32.694271," Program Coordinator job in  Washington,   D.C.  at  Allegheny Science & Technology  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17678945/Program-Coordinator-D-C-Washington
14,2026-07-25 14:28:32.694271," Project Manager job in  Washington,   D.C.  at  Allegheny Science & Technology  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17659065/Project-Manager-D-C-Washington
15,2026-07-25 14:28:32.694271," Business Development  Executive- Large Enterprise, Public Sector job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17022522/Business-Development-Executive-Large-Enterprise-Public-Sector-D-C
16,2026-07-25 14:28:32.694271," Project Manager I - Cell & Gene Therapy (Sponsor Dedicated - US Remote; Preference for Hybrid Los Angeles, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17338016/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Los-Angeles-Ca-D-C
17,2026-07-25 14:28:32.694271, Territory Manager (General) - DC job in   D.C.  at  Chobani  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17642352/Territory-Manager-General-Dc-D-C
18,2026-07-25 14:28:32.694271," Senior Product Delivery Manager job in   D.C.  at  Karsun Solutions, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17336746/Senior-Product-Delivery-Manager-D-C
